query,top_k,query_l1,kth_score,gap,optimistic_min_depth
112,1,11.992973035208706,10.530565814267902,1.462407220940804,4
113,1,12.87385927210562,11.210234041325748,1.6636252307798713,6
114,1,12.080054782796651,10.380923135904595,1.6991316468920559,5
115,1,12.366913202335127,8.141101360553876,4.225811841781251,14
116,1,12.027466581668705,10.052741314342711,1.9747252673259936,5
117,1,11.990197212522617,10.480417673650663,1.5097795388719533,4
118,1,11.563007320808538,9.334593132261944,2.2284141885465942,6
119,1,12.23531110699696,9.774268634457258,2.4610424725397024,7
120,1,12.190262777206954,11.135535333130974,1.0547274440759793,3
121,1,11.870586426113732,10.907184761250392,0.9634016648633406,3
122,1,12.38901761523448,9.795544138876721,2.593473476357758,8
123,1,12.201609675699729,10.94069434395351,1.2609153317462187,4
124,1,11.909217890526634,10.299988408514764,1.6092294820118695,5
125,1,11.960544300993206,10.097833998297574,1.862710302695632,6
126,1,11.877631015413499,10.953529837810493,0.9241011776030064,3
127,1,12.137148592795711,10.888126731093507,1.2490218617022038,3
96,10,12.268155367753934,8.896172559878323,3.371982807875611,10
97,10,12.46009641548153,8.157017505145632,4.303078910335898,14
98,10,12.499016300454969,7.700337165937526,4.798679134517442,17
99,10,12.408463234140072,7.102188112621661,5.306275121518411,20
100,10,12.677811554269283,8.347466794904904,4.33034475936438,16
101,10,12.056899971561506,7.133133875235217,4.92376609632629,16
102,10,12.389025245065568,7.413868130912306,4.975157114153262,18
103,10,11.924797833882621,7.88064864462649,4.044149189256132,12
104,10,12.462176758631358,9.386626222937593,3.0755505356937647,10
105,10,12.093219140238944,8.012769920940627,4.080449219298316,13
106,10,11.866035382598056,7.572902600877569,4.293132781720487,14
107,10,12.291138826010865,9.12637846537109,3.164760360639775,9
