case_id,method,documents,phase,leaf_size,node_budget,key_bits,candidate_target,recall,p50_ms,predicted_p50_ms,p50_error_percent,p95_ms,predicted_p95_ms,within_twenty_percent,logical_index_bytes,array_capacity_bytes,rss_before_queries,sampled_query_peak,lifetime_peak_bytes,budget_status,mean_scored,mean_split_words,mean_leaf_words,mean_key_attempts,max_mask_bytes,max_key_queue_bytes,power_unchanged
17,keys,8192,check,0,0,12,0,1.0,0.42474991641938686,0.4098394789172497,-3.510403869606649,0.44689520727843046,0.41080458521825935,True,398840,327680,48824320,52412416,52412416,fits_by_lifetime_peak,8192.0,0.0,0.0,4096.0,0,32768,True
18,keys,16384,fit,0,0,12,1000,0.1825,0.05704187788069248,0.05591194986950541,-1.9808744963663478,0.06845016032457352,0.05637583853276599,True,735860,655360,49020928,49184768,49528832,fits_by_lifetime_peak,1002.625,0.0,0.0,258.25,0,8192,True
19,branch,131072,check,8,512,0,0,0.16875,0.7649585604667664,0.9889888317880448,29.286589221849933,0.8626519003883004,0.9902202088308796,False,9437184,9437184,66191360,66404352,66404352,fits_by_lifetime_peak,574.0,844032.0,204544.0,0.0,5210112,0,True
20,branch,2048,check,32,512,0,0,1.0,0.09554228745400906,0.09699871840959853,1.5243835943226245,0.10749818757176399,0.09807297469947548,True,147456,147456,48578560,48726016,48726016,fits_by_lifetime_peak,2048.0,2952.0,2984.0,0.0,8192,0,True
21,branch,131072,check,32,512,0,0,0.385,1.0349582880735397,1.0716111838369335,3.5414853125742023,1.1636497918516397,1.0813829170708362,True,9437184,9437184,64897024,65142784,65142784,fits_by_lifetime_peak,3082.75,770048.0,278528.0,0.0,4177920,0,True
22,branch,32768,check,32,512,0,0,0.6025,0.38677104748785496,0.40312485383009866,4.2282912458066635,0.4268775694072246,0.4068275653975089,True,2359296,2359296,51560448,51691520,51789824,fits_by_lifetime_peak,3781.375,177344.0,84800.0,0.0,794624,0,True
23,branch,4096,fit,8,0,0,0,1.0,0.3209791611880064,0.330011276326318,2.8139257093457326,0.3493561176583171,0.33140286460939744,True,294912,294912,48709632,52183040,52183040,fits_by_lifetime_peak,4096.0,47600.0,47592.0,0.0,97792,0,True
24,keys,131072,check,0,0,4,1000,0.10375000000000001,0.24341698735952377,0.2381828168475639,-2.150289743019895,0.2544909715652466,0.24118057575751006,True,5243200,5242880,54706176,54820864,58884096,fits_by_lifetime_peak,8186.5,0.0,0.0,1.0,0,16,True
25,branch,1024,fit,8,512,0,0,1.0,0.07112487219274044,0.07501500367169399,5.469438972644798,0.07911415304988623,0.07568443364203423,True,73728,73728,48611328,48676864,48676864,fits_by_lifetime_peak,1024.0,2950.0,2964.0,0.0,7168,0,True
26,branch,8192,check,8,0,0,0,1.0,0.834333710372448,0.8130499461086975,-2.5509893702184634,0.9056185139343143,0.8168135570219314,True,589824,589824,48906240,52953088,52953088,fits_by_lifetime_peak,8192.0,189056.0,189056.0,0.0,362496,0,True
